antecedents_str,consequents_str,support,confidence,lift,conviction,zhang,leverage,antecedents_len,consequents_len
knee swelling,leg swelling,0.010093680619483403,0.37324789747697235,11.99159520303975,1.5458651102190577,0.9420849039955277,0.009251951020661993,1,1
leg swelling,knee swelling,0.010093680619483403,0.3242867084203201,11.99159520303975,1.4398964456708676,0.9460549692620271,0.009251951020661993,1,1
lacrimation,eye redness,0.011869821844371041,0.3533204384268214,11.889155496406909,1.5004063566057122,0.9477287419689664,0.0108714480029356,1,1
eye redness,lacrimation,0.011869821844371041,0.3994169096209913,11.889155496406907,1.6091111355285552,0.9439416775358772,0.0108714480029356,1,1
plugged feeling in ear,ear pain,0.011284994855688525,0.5393374741200827,11.784128176260728,2.0714336840145458,0.9346975283186527,0.010327351261958589,1,1
"skin dryness, peeling, scaliness, or roughness",abnormal appearing skin,0.010970921102507174,0.49950690335305714,11.641082766558437,1.912296160825821,0.9346249758050829,0.010028489773522593,1,1
eye redness,foreign body sensation in eye,0.01190231223263118,0.4005102040816327,11.552986471064527,1.6102571925308975,0.9414192750110605,0.010872075396256311,1,1
foreign body sensation in eye,eye redness,0.01190231223263118,0.34333020930959074,11.552986471064527,1.477579962756102,0.9462460370623547,0.010872075396256311,1,1
lacrimation,symptoms of eye,0.017533979531055396,0.5219213410702772,11.280806888512183,1.994930477032147,0.9430351837847362,0.015979659906196722,1,1
symptoms of eye,lacrimation,0.017533979531055396,0.37897940074906367,11.280806888512183,1.5561560110963717,0.9555642955005323,0.015979659906196722,1,1
foreign body sensation in eye,pain in eye,0.017414848107434884,0.5023430178069354,11.2773747992228,1.9199081131844384,0.9440546540861334,0.015870619205098937,1,1
pain in eye,foreign body sensation in eye,0.017414848107434884,0.39095550692924874,11.2773747992228,1.5849954588035173,0.953813873379808,0.015870619205098937,1,1
diminished hearing,ear pain,0.014100828504900633,0.5150316455696202,11.253063652075458,1.9676167823190804,0.9367830899089509,0.012847762767349245,1,1
ear pain,diminished hearing,0.014100828504900633,0.30809275911026973,11.253063652075458,1.4057107302062903,0.9548363839727285,0.012847762767349245,1,1
foreign body sensation in eye,symptoms of eye,0.017891373801916934,0.5160887222742893,11.154740676778207,1.9708854308994916,0.9430447810139326,0.016287448231584047,1,1
